time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/policy_gradient_loss
83,-0.24786380000000002,1.0,5312,1294,4,0.0453125,0.03143620491027832,0.014831214,0.0003,-2.4435075998306273,820,0.022244952246546747,0.8207341432571411,0.2,-0.05476200580596924,-0.03205517493188381
84,-0.24584832999999995,1.0,5376,1294,4,0.13125,0.05568414926528931,0.01780247,0.0003,-2.4406607866287233,830,0.04047103114426136,0.8193872570991516,0.2,0.011241847649216652,-0.008662830386310817
85,-0.23686559,1.0,5440,1294,4,0.0203125,0.039826810359954834,0.0062618144,0.0003,-2.4373708009719848,840,0.02879664786159992,0.818240225315094,0.2,-0.01710313931107521,-0.014226679410785436
86,-0.23843664999999994,1.0,5504,1295,4,0.0078125,0.020999133586883545,0.0028690686,0.0003,-2.4348074913024904,850,0.028650707751512527,0.817331075668335,0.2,-0.006121600046753883,-0.008046943973749877
87,-0.29498833999999996,1.0,5568,1294,4,0.003125,0.033699631690979004,0.0026525687,0.0003,-2.4324594259262087,860,0.04630539156496525,0.8161920309066772,0.2,0.01614614948630333,0.004245612770318985
88,-0.24543051000000005,1.0,5632,1293,4,0.0828125,0.04585033655166626,0.012500435,0.0003,-2.428783106803894,870,0.0294015072286129,0.8142337203025818,0.2,0.008999904617667198,-0.005738726258277893
89,-0.21655647000000003,1.0,5696,1293,4,0.0,0.054518163204193115,0.0006343182,0.0003,-2.4232863903045656,880,0.036946685239672664,0.8115276098251343,0.2,0.009852460585534573,-0.0023062807973474263
90,-0.2888776,1.0,5760,1294,4,0.003125,0.013679683208465576,0.0019670604,0.0003,-2.416366195678711,890,0.03461180366575718,0.8089339733123779,0.2,0.0008397512137889862,-0.0069069073535501955
91,-0.26107381,1.0,5824,1294,4,0.053125,0.03379857540130615,0.012610044,0.0003,-2.4107326745986937,900,0.03542427197098732,0.8070120215415955,0.2,-0.01495365984737873,-0.015791862923651933
92,-0.25175398000000004,1.0,5888,1295,4,0.0,0.06135833263397217,0.0010246849,0.0003,-2.4067828178405763,910,0.03845820240676403,0.8059373497962952,0.2,0.0023685991764068604,-0.0019130244851112365
