rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/std,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,train/loss
-0.17325738,1.0,17280,270,1200,14,-0.03379480428993702,0.48748356103897095,0.013591625,0.0003,-1.4024976253509522,0.022191358171403407,0.04135167598724365,2690,0.0453125,0.2,-0.05539388209581375
-0.17265069,1.0,17344,271,1200,14,-0.007385013066232205,0.4867555499076843,0.01450185,0.0003,-1.399228036403656,0.030246590636670588,0.09794449806213379,2700,0.096875,0.2,0.0003482550382614136
-0.1775134,1.0,17408,272,1200,14,-0.009724799916148186,0.4859117269515991,0.007431604,0.0003,-1.396200966835022,0.03779193311929703,0.053169310092926025,2710,0.01875,0.2,0.002506570890545845
-0.16090661999999997,1.0,17472,273,1200,14,-0.0014239532873034477,0.48431044816970825,0.0021821363,0.0003,-1.3913737654685974,0.03286855556070804,0.06839215755462646,2720,0.0,0.2,0.013069428503513336
-0.13564099999999998,1.0,17536,274,1200,14,-0.002319263480603695,0.4822593331336975,0.00032722764,0.0003,-1.3837435960769653,0.028071833960711955,0.06191462278366089,2730,0.0,0.2,0.008814672008156776
-0.14730084999999998,1.0,17600,275,1200,14,-0.011411430686712265,0.4805479347705841,0.005081537,0.0003,-1.3755536913871764,0.015958636347204447,0.026645183563232422,2740,0.0078125,0.2,-0.019901111721992493
-0.17430867,1.0,17664,276,1200,14,-0.02203784417361021,0.47920316457748413,0.019311374,0.0003,-1.369260323047638,0.02595319040119648,0.08446329832077026,2750,0.1125,0.2,-0.0156626608222723
-0.13938778999999998,1.0,17728,277,1200,14,-0.00579586923122406,0.47773805260658264,0.003660204,0.0003,-1.3635324835777283,0.029194232262670993,0.11293989419937134,2760,0.0046875,0.2,-0.00012797024101018906
-0.16230847,1.0,17792,278,1200,14,-0.005063840094953776,0.4763128161430359,0.0025232881,0.0003,-1.3572669267654418,0.022378123365342617,0.09958380460739136,2770,0.0,0.2,-0.005045264959335327
-0.17320511,1.0,17856,279,1201,14,0.002246467582881451,0.4751068353652954,0.00050993264,0.0003,-1.351741576194763,0.027498044818639756,0.10494524240493774,2780,0.0,0.2,0.010530836880207062
